type_path,type_name,good_price,brand_id,good_name,img_name,good_link,img_url
./品质女装,品质女装,79,1523267,女款字母T恤,女款字母T恤,http://www.vip.com/detail-1523267-251134848.html,http:////a.vpimg4.com/upload/merchandise/pdcvis/2017/03/07/153/e50d98dd-ec59-4b00-ad19-bb928579e8c6_235x297_90.jpg
./品质女装,品质女装,129,1490284,午夜黑织带撞色针织长裤,午夜黑织带撞色针织长裤,http://www.vip.com/detail-1490284-254254328.html,http:////a.vpimg3.com/upload/merchandise/pdcvis/2016/09/27/198/2454fb1f-0112-4c20-9743-f7ed616b555a_235x297_90.jpg
./品质女装,品质女装,49,1490284,圆领针织长袖T恤,圆领针织长袖T恤,http://www.vip.com/detail-1490284-254257048.html,http:////a.vpimg4.com/upload/merchandise/pdcvis/2017/01/07/170/d30a5240-286c-43f0-abd2-b314d5bce7ff_t_235x297_90.jpg
./品质女装,品质女装,99,1490284,深灰色刺绣松紧腰拼接休闲长裤,深灰色刺绣松紧腰拼接休闲长裤,http://www.vip.com/detail-1490284-254254457.html,http:////a.vpimg2.com/upload/merchandise/pdcvis/2016/09/03/89/172258f6-1705-4b9b-b690-db8b064ea1c3_235x297_90.jpg
./品质女装,品质女装,187,1533931,高腰碎花显瘦鱼尾下摆半身裙,高腰碎花显瘦鱼尾下摆半身裙,http://www.vip.com/detail-1533931-253703226.html,http:////a.vpimg2.com/upload/merchandise/pdcvis/2017/05/16/128/fa958c03-86ec-4389-8c2a-0db8113cea77_235x297_90.jpg
./品质女装,品质女装,1198,1502785,A型黑白渐变羊毛针织布底背心式连衣裙,A型黑白渐变羊毛针织布底背心式连衣裙,http://www.vip.com/detail-1502785-253596076.html,http:////a.vpimg3.com/upload/merchandise/pdcvis/2017/07/31/185/d7264294-475f-412b-9729-4bef41c40d9d_t_235x297_90.jpg
./品质女装,品质女装,89,1490284,撞色袖口条纹口袋绣花短袖T恤,撞色袖口条纹口袋绣花短袖T恤,http://www.vip.com/detail-1490284-254254237.html,http:////a.vpimg2.com/upload/merchandise/pdcvis/2017/03/30/96/7927040b-29f8-4f18-a4ad-9c8dc100a387_t_235x297_90.jpg
./品质女装,品质女装,158,1503796,吊带V领露肩无袖收腰上衣时尚设计上装,吊带V领露肩无袖收腰上衣时尚设计上装,http://www.vip.com/detail-1503796-247564919.html,http:////a.vpimg4.com/upload/merchandise/pdcvis/2017/06/07/125/001b0d39-4071-4573-99a5-0b993aeeedb5_t_235x297_90.jpg
./品质女装,品质女装,139,1527113,女性中袖修身针织衫,女性中袖修身针织衫,http://www.vip.com/detail-1527113-254829798.html,http:////a.vpimg2.com/upload/merchandise/pdcvis/2017/02/21/150/6a8fa4b0-dbfb-45fe-bbed-847de9106f69_t_235x297_90.jpg
./品质女装,品质女装,398,1521929,女款时尚飞行员外套,女款时尚飞行员外套,http://www.vip.com/detail-1521929-252344417.html,http:////a.vpimg4.com/upload/merchandise/pdcvis/603386/2017/0621/73/de51c3d3-ddd0-4b0a-a90d-c625663dafbd_t_235x297_90.jpg
./品质女装,品质女装,159,1492798,韩版休闲印花条纹套装,韩版休闲印花条纹套装,http://www.vip.com/detail-1492798-254146147.html,http:////a.vpimg3.com/upload/merchandise/pdcvis/2017/06/18/55/096d5dd1-cb21-4196-aa00-eeb5ded736c5_235x297_90.jpg
./品质女装,品质女装,48,1503481,文艺小花女中腰内裤,文艺小花女中腰内裤,http://www.vip.com/detail-1503481-253479690.html,http:////a.vpimg3.com/upload/merchandise/pdc/055/519/937106483778519055/1/DNKWC-T6418-3-999-5_235x297_90.jpg
./品质女装,品质女装,199,1490284,撞色假两件绣花直身连衣裙,撞色假两件绣花直身连衣裙,http://www.vip.com/detail-1490284-254254365.html,http:////a.vpimg4.com/upload/merchandise/pdcvis/2017/04/10/162/70b24116-3d08-4b62-bd1c-d6f8e5b7a2af_t_235x297_90.jpg
./品质女装,品质女装,278,1504070,简约百搭分袖衬衫上衣,简约百搭分袖衬衫上衣,http://www.vip.com/detail-1504070-255256735.html,http:////a.vpimg2.com/upload/merchandise/pdcvis/2017/07/20/189/6ca00e2d-78a3-4b59-a85b-4221ce975d88_235x297_90.jpg
